Amplitude,Mean (Pixels),Std Dev (Pixels),Distance to Previous Peak (Pixels)
97.24888326053706,120.42164931864424,6.309907021959625,
139.95880402252496,247.58154688549087,6.687961281933224,127.15989756684662
95.86277563646793,294.07718056452364,6.988729494540755,46.49563367903278
109.3301804329507,319.6030916321021,5.061012033783523,25.525911067578477
97.43272065507817,346.86501092767827,5.62039327784968,27.26191929557615
110.21462483564487,364.8080850746163,4.541255101285005,0.7018786216128774
93.84352704922203,386.5770940816524,5.214993315155784,17.241195525325168
95.89606848423352,400.48579005830163,5.005559303706319,21.76900900703606
96.28292549428718,419.5326567550621,5.05914300231299,13.908695976649255
91.91744450273988,430.7234056147367,5.8077468568850925,19.046866696760446
84.12652410255802,448.74611953363114,5.403622805337358,11.190748859674613
78.27544786438654,457.73101735138226,6.630781374535247,18.022713918894453
82.23003394970621,475.41703020039455,6.204441586713199,8.984897817751119
79.63648225056076,482.1970788168518,7.457231929868941,17.686012849012286
75.1099187076535,501.39428662536204,8.555135300080526,6.780048616457236
79.164796996818,498.9658886868679,13.192472574157616,16.768809870016128
70.24185128884022,526.8873788044522,13.321330957752338,2.428397938494129
4624.656683779258,347.56688954929115,68.51709249082467,25.493092179090127
76.05108762072216,552.8898658141602,21.69400192992128,26.002487009708034
69.0815843248091,592.8911653678891,19.158765727204173,40.00129955372893
